Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days)
qwik,BuilderIO,2427659.0,2179.0,347171.1199999989,0.30719318828213876,86039.82012149169,alive,0.025219907407407406
glide,bumptech,6404699.0,1827327.0,1494194.790000004,1.3412497285482288,313858.8718379355,unknown,21.149618055555557
easy-wg-quick,burghardt,15896814.0,7781420.0,9607202.149999997,7.5271586183984915,2156374.9124641633,alive,90.06273148148148
quickcheck,BurntSushi,74145620.0,1851215.0,6291961.809999999,5.724278700677802,3346821.6010473953,alive,21.426099537037036
caffe,BVLC,24653820.0,117218364.0,521852.6800000006,0.5642667468912956,486244.14785204054,dead,1356.6940277777778
MingQQ,bywyu,46923.0,300118868.0,45067.200000000004,0.1315547839506173,17788.76395556101,dead,3473.5980092592595
c3,c3js,13760692.0,647300.0,2510425.2000000095,1.8538870862310637,793174.6544153513,alive,7.491898148148148
Cachet,CachetHQ,74463215.0,387203.0,517273.8400000001,0.4474772149289701,893057.5300472117,alive,4.481516203703704
React-QuizComponent,caike,304393.0,173344453.0,289230.6399999999,0.6943349358974359,90590.61396525892,dead,2006.301539351852
spring-boot-quartz-scheduler-email-scheduling,callicoder,59268234.0,64677053.0,58017519.77999999,162.29162367724868,24538674.795883756,unknown,748.5770023148148
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,26462611.0,22462877.0,6403624.819999989,3.293695204316571,1333082.2548438862,unknown,259.9870023148148
You-Dont-Need-jQuery,camsong,35643690.0,17439737.0,5678333.879999997,4.319172537037037,2115007.6943467753,unknown,201.84880787037036
qtcanpool,canpool,127960977.0,120906.0,11497874.939999914,15.777933838038859,11631652.100472966,alive,1.399375
async,caolan,32549870.0,6662799.0,3345161.600000004,2.571503258934718,1057797.8337654131,unknown,77.11572916666667
capistrano,capistrano,27131107.0,1205589.0,2861892.440000002,2.2963347428829297,968085.0592476046,alive,13.953576388888889
carrierwave,carrierwaveuploader,8725426.0,172304.0,2196803.630000007,2.103360304353328,505886.83898516634,alive,1.9942592592592592
Carthage,Carthage,16430953.0,3741399.0,796479.4399999913,0.750199211303445,448193.254776284,unknown,43.30322916666667
QQ-Groups-Spider,caspartse,15828113.0,184075680.0,15343660.219999999,23.919790614478117,4987050.698527727,dead,2130.5055555555555
