Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
qikqiak,cnych,20818278.0,8684734.0,9224813.799999997,35.624870689655175,4492384.720427758,alive,100.51775462962964,Error,
CocoaLumberjack,CocoaLumberjack,1475512.0,56051.0,1080483.7999999998,2.6914866698595143,401777.4310469476,alive,0.6487384259259259,True,2024-03-08T07:19:06Z
CocoaPods,CocoaPods,1114581.0,426669.0,756798.3999999993,1.1777941411238826,275931.3251863738,alive,4.938298611111111,verify,2024-02-06T18:13:58Z
CodeMirror,codemirror,5466986.0,401148.0,3262453.1999999983,11.101699393358876,1202412.2346828203,alive,4.642916666666666,True,2024-02-29T06:17:45Z
quote-server,CodeYourFuture,50049283.0,7741268.0,11955147.199999977,34.85480723180077,9614884.720143244,alive,89.59800925925926,False,2023-08-03T09:38:52Z
QDarkStyleSheet,ColinDuquesnoy,21398204.0,535375.0,6332814.799999997,17.169888250319286,4217129.509032506,alive,6.196469907407407,False,2023-11-28T19:48:19Z
composer,composer,771869.0,397381.0,538775.5999999996,1.0649720625798211,201412.28516537152,alive,4.59931712962963,True,2024-03-15T14:08:50Z
quickfixn,connamara,7933784.0,434253.0,5932152.399999998,10.17125957854406,2114659.1508218306,alive,5.026076388888889,True,2024-02-23T22:51:49Z
quickbooks-php,consolibyte,47952982.0,591882.0,32080736.59999992,49.04527697956578,12192556.27806209,alive,6.8504861111111115,False,2023-11-07T16:17:04Z
nvm,creationix,2988642.0,523248.0,2292014.599999999,6.441072397828863,778815.2950146358,alive,6.056111111111111,True,2024-03-09T06:28:53Z
Quantumult-X,crossutility,30821379.0,7577556.0,9654870.599999988,31.94037396232439,5992954.157384511,alive,87.70319444444445,verify,2024-01-15T03:30:47Z
q,cycfi,3340101.0,841999.0,1348154.9999999995,4.593482199872286,717546.8853619912,alive,9.745358796296296,False,2023-10-22T06:06:41Z
BaseRecyclerViewAdapterHelper,CymChad,6048105.0,139260.0,2702099.7999999947,5.278392001915709,1293008.0656962534,alive,1.6118055555555555,verify,2024-01-04T09:33:37Z
Q-calculator,CyrilFeng,8260277.0,990853.0,4913794.199999999,12.381135855683269,2017415.1977856953,alive,11.468206018518519,verify,2024-01-15T03:14:00Z
d3,d3,3532001.0,119815.0,2221353.199999996,4.585157247765006,836745.1408542388,alive,1.3867476851851852,True,2024-03-12T22:14:50Z
awesome-question-answering,dapurv5,101776542.0,19714069.0,28400028.99999999,79.5335308908046,19713687.001660686,alive,228.1720949074074,False,2023-03-17T19:52:11Z
query-json,davesnx,45857370.0,1889613.0,3349267.999999992,20.97114224137931,8519824.008080479,alive,21.870520833333334,True,2024-03-11T10:47:37Z
