Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
container-query-polyfill,GoogleChromeLabs,17813819.0,30775448.0,1225714.3999999994,10.279440453384419,3276792.237522231,dead,356.19731481481483,False,2022-11-09T19:15:52Z
mirror-quickstart-java,googleglass,25415201.0,286005664.0,3249776.1999999983,14.646003352490421,4719625.688045451,dead,3310.2507407407406,False,2014-10-08T17:58:56Z
mirror-quickstart-python,googleglass,5228984.0,319076384.0,1795155.1999999997,5.458855363984674,1066454.917355305,dead,3693.013703703704,False,2013-09-20T23:40:16Z
guetzli,google,42075700.0,126789299.0,18400189.79999996,32.380482120051084,9009343.058661243,dead,1467.468738425926,False,2019-10-25T12:45:01Z
iosched,google,19275405.0,25867097.0,2768419.1999999997,13.782621727330778,3583619.371002945,dead,299.38769675925926,False,2023-01-05T18:35:50Z
material-design-lite,google,2499716.0,200198460.0,2361765.7999999993,6.6975327266922084,788962.8885453752,dead,2317.1118055555557,False,2017-06-27T21:19:00Z
proto-quic,google,41373752.0,141547061.0,6947016.799999982,27.167622924648786,7732244.80607979,dead,1638.2761689814815,False,2019-05-07T17:22:19Z
traceur-compiler,google,6567557.0,224839345.0,1419361.399999999,6.446195721583653,1229451.6871476867,dead,2602.3072337962963,False,2016-09-15T16:37:35Z
WebFundamentals,google,4062608.0,38654514.0,2098011.599999999,4.383223180076628,885940.9826642607,dead,447.3902083333333,False,2022-08-10T14:38:06Z
quiz,gophercises,27818518.0,134912544.0,7635359.799999997,22.334367816091955,5506204.13173063,dead,1561.4877777777779,False,2019-07-23T12:17:36Z
React-Query-Tutorials,gopinav,194474.0,68752402.0,188057.4,0.6921595625798211,62499.1687450534,dead,795.7453935185185,False,2021-08-27T06:06:38Z
gradle-build-scan-quickstart,gradle,2268026.0,2294699.0,1885618.7999999998,4.584372605363985,634570.5595179186,dead,26.559016203703703,verify,2024-02-05T07:20:20Z
Awesome-Quant-Machine-Learning-Trading,grananqvist,43302422.0,96621102.0,20211888.39999998,41.342287581699345,10806536.324872762,dead,1118.2997916666666,False,2020-10-08T16:48:18Z
graphql-js,graphql,1685531.0,4378041.0,1311864.7999999993,4.473263888888889,445364.72388233186,dead,50.67177083333333,verify,2024-01-24T17:24:23Z
NotQuite0DayFriday,grimm-co,7783413.0,48164057.0,5970237.399999997,13.135844508301403,2107469.360106596,dead,557.454363425926,False,2022-04-22T13:05:43Z
boxes-jQuery-playground,gSchool,46724120.0,203309220.0,39095543.8,146.45664120370373,19490566.075924315,dead,2353.1159722222224,False,2017-05-22T21:13:00Z
qrcode-terminal,gtanner,45330622.0,177219476.0,37522562.99999996,63.616716554916984,12917875.719611594,dead,2051.1513425925928,False,2018-03-20T20:22:04Z
QSS,GTRONICK,20895942.0,62399683.0,10853246.199999996,26.03752155172414,4759371.712978666,dead,722.2185532407408,False,2021-11-08T18:45:17Z
Parsley,guillaumepotier,32215540.0,33260343.0,7170076.3999999985,37.84416546934866,6084093.51623791,dead,384.9576736111111,Error,
CrystalQuartz,guryanovev,257463.0,14301101.0,223634.99999999994,0.5110129310344828,73893.06208425248,dead,165.5220023148148,False,2023-05-19T11:28:19Z
guzzle,guzzle,3448870.0,4373279.0,2558171.199999998,4.137804118773946,885576.1588067114,dead,50.616655092592595,verify,2023-12-21T17:50:25Z
CV_interviews_Q-A,GYee,1283549.0,101399705.0,873915.1999999993,2.1301221264367816,323656.49828644237,dead,1173.6076967592592,False,2020-08-14T09:24:55Z
quark-shell-mac,HackPlan,80603223.0,111860467.0,31315696.399999905,61.76404254469987,17049262.23420139,dead,1294.6813310185184,False,2020-04-15T07:38:53Z
hammer,hammerjs,29159685.0,139731036.0,18148928.999999993,37.18407567049808,7171704.340508602,dead,1617.257361111111,Error,
Mac-QuickLook,haokaiyang,32908771.0,63194092.0,16376138.399999999,46.0329066890166,7572517.25263264,dead,731.4131018518518,False,2021-10-30T14:05:08Z
Quiver,HappenApps,12272506.0,275944221.0,9204423.25,23.674822530864198,5010186.973320443,dead,3193.798854166667,False,2015-02-02T04:49:39Z
q,harelba,16719032.0,39031524.0,3239143.599999997,9.669145514048532,3161884.508175183,dead,451.75375,verify,2023-12-21T10:09:47Z
QuickCut,HaujetZhao,1144658.0,99056231.0,561751.5999999982,0.9354825191570882,262450.23480735533,dead,1146.4841550925926,False,2020-09-10T12:23:53Z
Bloodhound-Custom-Queries,hausec,13314199.0,76971913.0,13057195.0,25.141739969135806,4355528.896987659,dead,890.8786226851852,False,2021-05-24T02:54:47Z
QuantumultX,Hedilict,26285229.0,56578039.0,10684802.199999962,18.00367856002554,5769005.353664511,dead,654.8384143518518,False,2022-01-15T03:52:41Z
android-tech-frontier,hehonghui,76805699.0,86289089.0,26820206.199999984,61.03972381864624,15349016.103951456,dead,998.7163078703703,False,2021-02-05T06:48:31Z
ZeroNet,HelloZeroNet,2476708.0,87255341.0,781776.5999999996,2.48297653256705,485687.1043017355,dead,1009.8997800925926,False,2021-01-25T02:24:19Z
binance-quantization,hengxuZ,20124803.0,23673990.0,8840354.999999998,21.578893279054917,4199395.674627375,dead,274.0045138888889,False,2023-01-30T23:53:30Z
Fe-Interview-questions,HerbertKarajan,54332808.0,81035467.0,15951124.999999985,54.37681673052363,10508499.595771264,dead,937.9104976851852,False,2021-04-07T02:08:53Z
QTool,Hicores,1931434.0,14465058.0,900420.1999999986,2.5596396072796934,413404.92348446284,dead,167.41965277777777,False,2023-05-17T13:55:42Z
jQuery,hilios,30220859.0,215597104.0,6275783.799999998,18.132880747126435,5734459.9781508595,dead,2495.336851851852,Error,
QuadriFlow,hjwdzh,10130169.0,123051477.0,6481065.599999993,17.70132183908046,2573669.3374756286,dead,1424.2069097222222,False,2019-12-07T19:02:03Z
Java-interview-questions,Homiss,31012135.0,134769795.0,17760364.599999942,25.32976372924649,7734725.220254302,dead,1559.8355902777778,False,2019-07-25T03:56:45Z
php-engineer-interview-questions,hookover,17403690.0,139836994.0,4394842.4,12.958739623243934,3323693.386788874,dead,1618.4837268518518,False,2019-05-27T12:23:26Z
