Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Classification,TimeSinceLastCommit(days),Is_Alive,Status,Last_Commit_Date
git-quick-stats,arzzen,23070138.0,632820.0,3566106.4500000007,8.831998098544974,2284593.1679363865,alive,7.324305555555555,True,verify,2024-01-10T07:13:40Z
awesome-go,avelino,1765918.0,70596.0,299086.0,0.7325897351963457,133912.1989898141,alive,0.8170833333333334,True,True,2024-02-26T02:01:31Z
quickstart-aws-vpc,aws-quickstart,38804021.0,71664.0,4909709.299999996,14.053160018993353,4226600.0696579525,alive,0.8294444444444444,False,False,2023-10-31T04:05:36Z
quickstart-linux-bastion,aws-quickstart,15988724.000000002,71662.0,1548350.7999999966,3.8932191599151236,1020514.6593260663,alive,0.8294212962962964,False,False,2023-10-31T04:05:38Z
aws-athena-query-federation,awslabs,3609352.0,461077.0,593330.9,1.3492242552711888,279951.0522690366,alive,5.336539351851852,True,True,2024-02-26T19:10:03Z
azure-search-openai-demo,Azure-Samples,2450426.0,69694.0,404753.0,0.8781319598252737,193000.00076974233,alive,0.8066435185185186,True,True,2024-02-24T00:56:48Z
msdocs-python-django-webapp-quickstart,Azure-Samples,18399717.0,2862544.0,8088475.599999993,14.31164146090535,3600620.599861863,alive,33.1312962962963,True,verify,2024-01-08T16:07:39Z
BaconQrCode,Bacon,40950485.0,4863406.0,10489220.0,21.093701529568243,6162994.331544184,alive,56.2894212962963,False,False,2023-09-05T17:03:14Z
QtScrcpy,barry-ran,18710904.0,800649.0,1193824.25,2.498743159344807,1046132.5883480709,alive,9.266770833333334,True,True,2024-02-25T09:56:37Z
ruby-style-guide,bbatsov,7622295.000000001,244256.0,2159835.2999999984,4.420786886874399,879757.6820221484,alive,2.8270370370370372,True,verify,2024-01-13T10:43:31Z
frontend-interview-questions,bcherny,119649978.00000001,24520818.0,33901469.299999975,89.15504126409019,25715154.718118846,alive,283.80576388888886,False,False,2023-01-21T04:39:42Z
bee-queue,bee-queue,48336439.0,165719.0,2119910.2999999993,7.183169613265391,3742903.78969174,alive,1.9180439814814816,True,verify,2023-12-12T01:20:28Z
postgrest,begriffs,2928523.0,92248.0,546015.7999999999,1.3396732441835182,235321.74196522287,alive,1.0676851851851852,True,True,2024-02-27T01:13:28Z
Hunting-Queries-Detection-Rules,Bert-JanP,1692337.0,110688.0,718669.6499999998,2.079428670101553,276618.92871415144,alive,1.281111111111111,True,True,2024-02-26T21:08:59Z
laravel-query-detector,beyondcode,19943864.0,4010038.0,9234908.399999995,17.32214492014951,3647426.927418538,alive,46.41247685185185,True,verify,2023-12-01T20:42:12Z
vue-qr,Binaryify,43397564.0,1979129.0,15828194.5,26.95391546035472,7015647.344602635,alive,22.90658564814815,False,False,2023-10-09T02:14:31Z
jQuery-Store-Locator-Plugin,bjorn2404,36187371.0,2657679.0,4870475.399999996,10.962069654882155,3099496.171083392,alive,30.76017361111111,True,verify,2023-12-11T01:05:01Z
SmtpClient-for-Qt,bluetiger9,154370986.0,2873823.0,10599796.999999996,32.204792258042716,15006360.132500378,alive,33.26184027777778,True,verify,2024-01-09T11:35:39Z
frontend-guidelines-questionnaire,bradfrost,137909864.0,11256353.0,46489525.5,87.7402131869773,28758758.226251084,alive,130.28186342592593,False,False,2023-06-23T17:14:07Z
qwik,BuilderIO,2427659.0,2179.0,104337.0,0.30719318828213876,86039.82012149156,alive,0.025219907407407406,True,True,2024-02-25T21:18:24Z
